Coccosphere condition,Genus,Species,pg pic
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,1.37
Intact,Acanthoica,sp.,6.44
Intact,Emiliania,huxleyi,1.19
Intact,Emiliania,huxleyi,0.88
Intact,Emiliania,huxleyi,2.75
Intact,Emiliania,huxleyi,1.92
Intact,Emiliania,huxleyi,0.88
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,2.31
Intact,Syracosphaera,sp.,1.59
Intact,Emiliania,huxleyi,1.56
Intact,Emiliania,huxleyi,2.19
Intact,Emiliania,huxleyi,0.95
Intact,Emiliania,huxleyi,2.42
Intact,Emiliania,huxleyi,1.28
Intact,Emiliania,huxleyi,0.9
Intact,Emiliania,huxleyi,1.27
Intact,Emiliania,huxleyi,1.65
Intact,Florisphaera,profunda,40.56
Intact,Emiliania,huxleyi,1.71
Intact,Emiliania,huxleyi,1
Intact,Emiliania,huxleyi,1.76
Intact,Syracosphaera,molischii,0.71
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,0.9
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,0.75
Intact,Emiliania,huxleyi,0.99
Intact,Emiliania,huxleyi,1.42
Intact,Emiliania,huxleyi,1.09
Intact,Emiliania,huxleyi,0.64
Intact,Emiliania,huxleyi,1.11
Intact,Emiliania,huxleyi,1.49
Intact,Emiliania,huxleyi,1.7
Intact,Emiliania,huxleyi,1.08
Intact,Emiliania,huxleyi,1.69
Intact,Emiliania,huxleyi,2.18
Intact,Emiliania,huxleyi,2.08
Intact,Emiliania,huxleyi,1.01
Intact,Helicosphaera,carteri,196.53
Intact,Emiliania,huxleyi,1.24
Intact,Emiliania,huxleyi,3.57
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,0.16
Intact,Emiliania,huxleyi,5.35
Intact,Emiliania,huxleyi,3.22
Intact,Emiliania,huxleyi,0.58
Intact,Emiliania,huxleyi,1.01
Intact,Emiliania,huxleyi,1.2
Intact,Emiliania,huxleyi,1.38
Intact,Emiliania,huxleyi,1.16
Intact,Emiliania,huxleyi,1.97
Intact,Emiliania,huxleyi,1.85
Intact,Emiliania,huxleyi,2.32
Intact,Emiliania,huxleyi,5.24
Intact,Emiliania,huxleyi,3.53
Intact,Syracosphaera,hastata,1.18
Intact,Gephyrocapsa,ericsonii,1.04
Intact,Syracosphaera,sp.,0.37
Intact,Helicosphera,wallichi,221.78
Intact,Corisphaera,tyrrhensis HOL,0
Intact,Discosphaera,tubifera,3.11
Intact,Syracosphaera,sp.,0.5
Intact,Gephyrocapsa,ericsonii,2.87
Intact,Acanthoica,quattrospina,2.15
Intact,Gephyrocapsa,ericsonii,1.45
Intact,Syracosphaera,sp.,0.36
Intact,Emiliania,huxleyi,3.08
Intact,Discosphaera,tubifera,17.21
Intact,Gephyrocapsa,ericsonii,1.04
Intact,Discosphaera,tubifera,12.22
Intact,Emiliania,huxleyi,9.6
Intact,Rhabdosphaera,clavigera,11.56
Intact,Rhabdosphaera,clavigera,17.75
Intact,Syracosphaera,nodosa,1.01
Intact,Rhabdosphaera,clavigera,24.75
Intact,Gephyrocapsa,ericsonii,3.33
Intact,Corisphaera,gracilia,1.46
Intact,Syracosphaera,bannockii,1.75
Intact,Gephyrocapsa,ericsonii,2.1
Intact,Helladosphaera,cornifera HOL,2.22
Intact,Umbellosphaera,tenuis,2.86
Intact,Discosphaera,tubifera,71.07
Intact,Emiliania,huxleyi var. corona,2.04
Intact,Discosphaera,tubifera,3.69
Intact,Emiliania,huxleyi,5.85
Intact,Umbellosphaera,tenuis,6.32
Intact,Emiliania,huxleyi,4.07
Intact,Umbilicosphaera,sibogae,97.35
Intact,Emiliania,huxleyi,4.09
Intact,Umbellosphaera,tenuis,4
Intact,Umbellosphaera,tenuis,2.28
Intact,Syracosphaera,prolongata,0.79
Intact,Rhabdosphaera,clavigera,28.8
Intact,Syracosphaera,nodosa,1.14
Intact,Umbilicosphaera,sibogae,249.45
Intact,Syracosphaera,aurisinae HOL,7.71
Intact,Rhabdosphaera,clavigera,19.49
Intact,Umbellosphaera,tenuis,6.05
Intact,Umbellosphaera,tenuis,6.01
Intact,Umbellosphaera,tenuis,9.68
Intact,Umbellosphaera,tenuis,11.19
Intact,Corisphaera,tyrrheniensis HOL,3.42
Intact,Ophiaster,sp.,4.37
Intact,Rhabdosphaera,clavigera,16.07
Intact,Umbellosphaera,tenuis,11.87
Intact,Corisphaera,tyrrheniensis HOL,2.94
Intact,Emiliania,huxleyi,3.74
Intact,Gephyrocapsa,ericsonii,0.6
Intact,Helladosphaera,cornifera HOL,2.04
Intact,Ophiaster,sp.,4.63
Intact,Umbellosphaera,tenuis,5.88
Intact,Ophiaster,sp.,4.23
Intact,Gephyrocapsa,ornata,3.59
Intact,Rhabdosphaera,clavigera,20.34
Intact,Syracosphaera,sp.,0.81
Intact,Discosphaera,tubifera,9.78
Intact,Homozygosphaera,spinosa,0.61
Intact,Rhabdosphaera,clavigera,9.52
Intact,Helladosphaera,cornifera HOL,2.59
Intact,Umbellosphaera,tenuis,3.49
Intact,Syracosphaera,nodosa,1.15
Intact,Helicosphaera,hyalina,148.53
Intact,Rhabdosphaera,clavigera,15.95
Intact,Umbellosphaera,tenuis,10.52
Intact,Syracosphaera,orbiculus,0.49
Intact,Syracosphaera,hastata,1.13
Intact,Gephyrocapsa,ericsonii,0.49
Intact,Syracosphaera,pulchra HOL pirus type,27.44
Intact,Syracosphaera,aurisinae HOL,7.48
Intact,Syracosphaera,sp.,8.5
Intact,Discosphaera,tubifera,23.52
Intact,Syracosphaera,sp.,3.78
Intact,Syracosphaera,sp.,4.6
Intact,Gephyrocapsa,ericsonii,0.7
Intact,Syracosphaera,ossa,4.32
Intact,Rhabdosphaera,clavigera,22.68
Intact,Emiliania,huxleyi,6.6
Intact,Umbilicosphaera,hulburtiana,27.11
Intact,Emiliania,huxleyi,8.82
Intact,Umbilicosphaera,hulburtiana,65.3
Intact,Emiliania,huxleyi,12.95
Intact,Emiliania,huxleyi,18.99
Intact,Emiliania,huxleyi,11.84
Intact,Umbellosphaera,tenuis,6.41
Intact,Emiliania,huxleyi,10.73
Intact,Umbilicosphaera,hulburtiana,32.54
Intact,Discosphaera,tubifera,10.84
Intact,Umbellosphaera,tenuis,10.96
Intact,Umbellosphaera,tenuis,6.69
Intact,Gephyrocapsa,ericsonii,2.89
Intact,Umbellosphaera,tenuis,8.02
Intact,Discosphaera,tubifera,16.15
Intact,Gephyrocapsa,ericsonii,3.31
Intact,Syracosphaera,ossa,2.64
Intact,Syracosphaera,aurisinae HOL,9.45
Intact,Umbilicosphaera,hulburtiana,56.58
Intact,Umbilicosphaera,hulburtiana,21.52
Intact,Syracosphaera,molischii,2.17
Intact,Emiliania,huxleyi,15.57
Intact,Syracosphaera,molischii,2.98
Intact,Emiliania,huxleyi,3.35
Intact,Umbellosphaera,tenuis,5.99
Intact,Umbilicosphaera,hulburtiana,17.27
Intact,Syracosphaera,sp.,1.25
Intact,Emiliania,huxleyi,7.87
Intact,Emiliania,huxleyi,2.03
Intact,Umbilicosphaera,hulburtiana,30.44
Intact,Syracosphaera,molischii,4.37
Intact,Umbellosphaera,irregularis,4.17
Intact,Umbilicosphaera,hulburtiana,51.95
Intact,Umbilicosphaera,hulburtiana,60.48
Intact,Gephyrocapsa,ericsonii,1.23
Intact,Umbellosphaera,tenuis,11.06
Intact,Umbellosphaera,tenuis,4.69
Intact,Emiliania,huxleyi,15.5
Intact,Gephyrocapsa,ericsonii,3.72
Intact,Discosphaera,tubifera,1.01
Intact,Umbellosphaera,tenuis,11.57
Intact,Gephyrocapsa,ericsonii,3.11
Intact,Umbilicosphaera,hulburtiana,47.09
Intact,Syracosphaera,mediterranea HOL wettsteinii type,5.54
Intact,Emiliania,huxleyi,15.19
Intact,Umbellosphaera,tenuis,8.09
Intact,Umbellosphaera,tenuis,9.72
Intact,Umbilicosphaera,hulburtiana,46.29
Intact,Umbilicosphaera,hulburtiana,37.08
Intact,Acanthoica,quattrospina,6.87
Intact,Umbilicosphaera,hulburtiana,40.03
Intact,Umbellosphaera,tenuis,4.23
Intact,Umbellosphaera,irregularis,16.96
Intact,Emiliania,huxleyi,23.39
Intact,Umbilicosphaera,hulburtiana,26.09
Intact,Emiliania,huxleyi,7.35
Intact,Umbilicosphaera,hulburtiana,43.64
Intact,Syracosphaera,noroitica,1.58
Intact,Umbilicosphaera,hulburtiana,36.34
Intact,Umbellosphaera,tenuis,10
Intact,Emiliania,huxleyi,4.55
Intact,Umbilicosphaera,hulburtiana,50.76
Intact,Emiliania,huxleyi,3.82
Intact,Umbellosphaera,tenuis,7.11
Intact,Unknown,unknown,1.73
Intact,Emiliania,huxleyi,15.54
Intact,Syracosphaera,noroitica,0.91
Intact,Umbilicosphaera,hulburtiana,33
Intact,Gephyrocapsa,ericsonii,1.3
Intact,Syracosphaera,anthos HOL,11.34
Intact,Syracosphaera,strigilis HOL,2.1
Intact,Emiliania,huxleyi,2.8
Intact,Acanthoica,acanthifera,1.91
Intact,Emiliania,huxleyi,6.87
Intact,Syracosphaera,ossa,4.14
Intact,Umbilicosphaera,hulburtiana,39.09
Intact,Acanthoica,quattrospina,5.68
Intact,Umbellosphaera,tenuis,4.55
Intact,Syracosphaera,sp.,0.22
Intact,Rhabdosphaera,clavigera,19.5
Intact,Umbellosphaera,irregularis,16.98
Intact,Emiliania,huxleyi,14.37
Intact,Corisphaera,gracilis,1.68
Intact,Emiliania,huxleyi,7.87
Intact,Gephyrocapsa,ericsonii,2.64
Intact,Umbilicosphaera,hulburtiana,25.28
Intact,Acanthoica,quattrospina,8.34
Intact,Umbellosphaera,tenuis,4.29
Intact,Discosphaera,tubifera,46.72
Intact,Gephyrocapsa,ericsonii,2.19
Intact,Umbilicosphaera,hulburtiana,49.32
Intact,Umbilicosphaera,hulburtiana,49.52
Intact,Helladosphaera,cornifera,1.56
Intact,Emiliania,huxleyi,23.35
Intact,Umbilicosphaera,hulburtiana,22.76
Intact,Umbellosphaera,tenuis,7.09
Intact,Umbellosphaera,tenuis,9.8
Intact,Emiliania,huxleyi,18.11
Intact,Umbellosphaera,tenuis,15.53
Intact,Umbilicosphaera,hulburtiana,45.95
Intact,Umbellosphaera,tenuis,9.05
"Intact, partial, other part in 0067",Umbellosphaera,tenuis,6.21
Intact,Umbellosphaera,irregularis,15.85
Intact,Umbellosphaera,tenuis,6.14
Intact,Helicosphaera,wallichii,347.17
Intact,Helladosphaera,cornifera,5.71
Intact,Syracosphaera,bannockii,9.47
"Intact, partial, other part in 162",Emiliania,huxleyi,10.08
Intact,Emiliania,huxleyi,9.15
Intact,Syracosphaera,bannockii HOL,1.25
Intact,Syracosphaera,ossa,2.39
Intact,Umbellosphaera,tenuis,14.48
Intact,Syracosphaera,ossa,4.22
Intact,Emiliania,huxleyi,9.77
Intact,Umbellosphaera,tenuis,7.41
Intact,Emiliania,huxleyi,8.29
Intact,Helicosphaera,pavimentum,104.67
Intact,Umbilicosphaera,hulburtiana,45.57
Intact,Umbilicosphaera,hulburtiana,77.12
Intact,Umbellosphaera,irregularis,7.2
Intact,Syracosphaera,ossa,3.18
Intact,Emiliania,huxleyi,7.02
Intact,Umbellosphaera,tenuis,6.86
Intact,Umbellosphaera,tenuis,11.09
Intact,Rhabdosphaera,stylifera,18.64
Intact,Calcidiscus,leptoporus,430.68
"Intact, partial, other part in 0284",Acanthoica,sp.,3.95
Intact,Emiliania,huxleyi,22.22
Intact,Syracosphaera,sp.,0.31
Intact,Syracosphaera,pulchra,69.09
Intact,Umbellosphaera,tenuis,2.49
Intact,Emiliania,huxleyi,14.81
Intact,Syracosphaera,ossa,2.88
Intact,Umbellosphaera,tenuis,10.85
Intact,Umbilicosphaera,hulburtiana,51.09
Intact,Syracosphaera,ossa,5.04
Intact,Umbellosphaera,irregularis,20.63
Intact,Umbellosphaera,irregularis,10.81
Intact,Umbellosphaera,tenuis,4.44
Intact,Emiliania,huxleyi,9.83
Intact,Umbellosphaera,tenuis,8.3
Intact,Emiliania,huxleyi,11.44
Intact,Umbellosphaera,tenuis,8.67
Intact,Emiliania,huxleyi,3.28
Intact,Umbellosphaera,tenuis,9.81
Intact,Calcidiscus,leptoporus,212.1
Intact,Syracosphaera,prolongata,10.02
Intact,Emiliania,huxleyi,17.01
Intact,Umbellosphaera,tenuis,11.93
Intact,Umbellosphaera,tenuis,6.3
Intact,Emiliania,huxleyi,14.41
Intact,Syracosphaera,sp.,0.64
"Intact, partial",Emiliania,huxleyi,5.24
"Intact, partial",Calcidiscus,leptoporus,148.23
Intact,Umbellosphaera,tenuis,10.21
Intact,Emiliania,huxleyi,13.95
Intact,Umbellosphaera,irregularis,8.03
Intact,Umbellosphaera,irregularis,7.97
Intact,Syracosphaera,bannockii HOL,2.8
Intact,Umbellosphaera,tenuis,9.61
Intact,Umbellosphaera,tenuis,6.77
Intact,Corisphaera,gracilis,1.62
Intact,Emiliania,huxleyi,11.66
Intact,Umbellosphaera,tenuis,4.96
Intact,Umbellosphaera,tenuis,12.63
Intact,Umbellosphaera,tenuis,11.07
Intact,Rhabdosphaera,stylifera,26.2
Intact,Umbilicosphaera,hulburtiana,59.27
Intact,Syracosphaera,bannockii HOL,1.81
"Partial image, other part in 12",Calcidiscus,leptoporus,440.6
Intact,Syracosphaera,castellata,0.51
Intact,Gephyrocapsa,sp.,5.4
Intact,Syracosphaera,sp.,0.22
Intact,Calcidiscus,leptoporus,205.48
Intact,Corisphaera,sp.,2.5
Intact,Syracosphaera,ossa,4.17
Intact,Umbilicosphaera,hulburtiana,27.05
"Partial image, other part in 164",Alisphaera,POL type,0.68
Intact,Umbellosphaera,irregularis,16.79
Intact,Syracosphaera,HOL,0.2
Intact,Alisphaera,capulata,2.14
"Partial image, other part in 200",Rhabdosphaera,clavigera,21.89
Intact,Gephyrocapsa,ericsonii,0.59
Intact,Umbilicosphaera,hulburtiana,21.43
Intact,Syracosphaera,ossa,2.4
Intact,Emiliania,huxleyi,14.8
Intact,Syracosphaera,HOL,0.28
Intact,Syracosphaera,bannockii HOL,0.95
Intact,Umbilicosphaera,hulburtiana,22.34
Intact,Syracosphaera,sp.,0.15
Intact,Syracosphaera,HOL,0.21
Intact,Umbellosphaera,irregularis,11.08
Intact,Emiliania,huxleyi,4.76
Intact,Emiliania,huxleyi,5.5
"Partial image, other part in 314",Calcidiscus,leptoporus,284.5
Partial image,Umbellosphaera,irregularis,12.39
Intact,Calciosolenia,sp.,2.24
"Partial image, other part in",Syracosphaera,prolongata,3.11
Intact,Syracosphaera,ossa,2.46
"Partial image, other part in 339",Syracosphaera,prolongata,3.29
Intact,Umbellosphaera,irregularis,13.35
Intact,Acanthoica,sp.,2.61
"Partial image, other part in",Calcidiscus,leptoporus,371.86
Intact,Umbellosphaera,irregularis,3.34
Intact,Syracosphaera,halldalii,0.26
Intact,Emiliania,huxleyi,9.26
Intact,Syracosphaera,prolongata,3.27
Intact,Calcidiscus,leptoporus,184.6
Intact,Umbellosphaera,irregularis,7.14
Intact,Umbilicosphaera,hulburtiana,46.61
Intact,Umbilicosphaera,hulburtiana,44.71
Intact,Corisphaera,tyrrheniensis,1.19
Intact,Umbellosphaera,irregularis,5.51
"Partial image, other part in 478",Emiliania,huxleyi,6.21
Intact,Emiliania,huxleyi,17.53
Intact,Umbellosphaera,irregularis,6.16
"Partial image, other part in 504",Umbellosphaera,irregularis,15.47
Intact,Corisphaera,tyrrheniensis,1.87
Intact,Umbellosphaera,irregularis,3.79
Intact,Syracosphaera,molischii,1.63
Intact,Emiliania,huxleyi,18.11
Intact,Syracosphaera,ossa,3.97
Intact,Umbilicosphaera,hulburtiana,50.72
Intact,Syracosphaera,sp.,1.31
Intact,Emiliania,huxleyi,8.1
Intact,Emiliania,huxleyi,2.32
Intact,Emiliania,huxleyi,10.24
Intact,Emiliania,huxleyi,1.13
Intact,Helicosphaera,wallichii,117.08
Intact,Emiliania,huxleyi,8.41
Intact,Emiliania,huxleyi,2.88
Intact,Emiliania,huxleyi,10.65
Intact,Discosphaera,tubifera,8.37
Intact,Syracosphaera,halldalii,1.33
Intact,Emiliania,huxleyi,31.42
Intact,Umbellosphaera,tenuis,2.92
Intact,Homozygisphaera,spinosa,5.95
Intact,Umbellosphaera,tenuis,2.4
Intact,Discosphaera,tubifera,13.34
Intact,Emiliania,huxleyi,9.04
"Part of intact coccosphere, other half in image 0237",Discosphaera,tubifera,8.41
Intact,Corisphaera,sp.,1.77
Intact,Emiliania,huxleyi,2.91
Intact,Corisphaera,sp.,3.97
Intact,Syracosphaera,halldalii,9.89
Intact,Syracosphaera,ossa,1.57
Intact,Syracosphaera,noroitica,0.6
Intact,Emiliania,huxleyi,8.96
Intact,Syracosphaera,histrica HOL,4.03
Intact,Emiliania,huxleyi,7.75
Intact,Unknown,sp.,0.27
Intact,Syracosphaera,sp.,0.61
Intact,Emiliania,huxleyi,6.88
"Part of intact coccosphere, other half in image 0432",Syracosphaera,mediterranea HOL wettsteinii type,15.04
Flattened,Syracosphaera,anthos,1.42
Intact,Helladosphaera,cornifera,2.06
Intact,Emiliania,huxleyi,7.25
Intact,Helladosphaera,cornifera,2.5
Intact,Emiliania,huxleyi,0.7
Intact,Helicosphaera,wallichii,169.84
Intact,Helicosphaera,wallichii,154.31
Intact,Emiliania,huxleyi,4.08
Intact,Emiliania,huxleyi,2.81
Intact,Emiliania,huxleyi,6.02
Intact,Syracosphaera,nodosa,4.84
Intact,Emiliania,huxleyi,2.45
Intact,Emiliania,huxleyi,11
Intact,Emiliania,huxleyi,3.64
Intact,Helicosphaera,hyalina,55.52
Intact,Emiliania,huxleyi,4.65
Intact,Emiliania,huxleyi,6.19
"Part of intact coccosphere, other half in image 0624",Helicosphaera,hyalina,57.4
Intact,Syracosphaera,anthos,6.9
Intact,Emiliania,huxleyi,10.87
Intact,Emiliania,huxleyi,4.54
Intact,Gephyrocapsa,parvula,2.11
Intact,Gephyrocapsa,ericsonii,1.47
Intact,Umbellosphaera,tenuis,3.16
Intact,Syracosphaera,sp.,0.65
Intact,HOL,,0.82
Intact,HOL,,0.14
Intact,Gephyrocapsa,ericsonii,1.84
Intact,HOL,,3.03
Intact,Syracosphaera,leptolepis,1.21
Intact,Umbellosphaera,tenuis,1.92
Intact,Emiliania,huxleyi,7.64
Intact,Emiliania,huxleyi,19.84
Intact,Polycrater,sp.,1.45
Intact,Emiliania,huxleyi,2.19
Intact,Calcidiscus,leptoporus,181.11
Intact,Calcidiscus,leptoporus,296.49
Intact,HOL,,2.13
Intact,Umbellosphaera,tenuis,1.84
Intact,Emiliania,huxleyi,2.02
Intact,Discosphaera,tubifera,61.96
Intact,Calcidiscus,leptoporus,251.26
Half sphere,Umbilicosphaera,hulburtiana,37.81
Intact,HOL,,2.16
Intact,Syracosphaera,sp.,0.84
Intact,Umbellosphaera,irregularis,0
Intact,Emiliania,huxleyi,6.27
Intact,Umbellosphaera,tenuis,6.3
Intact,Syracosphaera,pulchra HOL,15.66
Intact,Polycrater,sp.,1.99
Intact,Emiliania,huxleyi,4.18
Intact,Umbellosphaera,tenuis,2.32
Intact,Emiliania,huxleyi,3.02
Intact,Gephyrocapsa,ericsonii,0.81
Intact,Emiliania,huxleyi,10.14
Intact,Umbilicosphaera,hulburtiana,23.5
Intact,Emiliania,huxleyi,1.55
Intact,Discosphaera,tubifera,26.85
Intact,Emiliania,huxleyi,4.76
Intact,Syracosphaera,pulchra,23.15
Intact,Ophiaster,sp.,4.22
Intact,Umbellosphaera,tenuis,4.61
Intact,Umbilicosphaera,hulburtiana,16.41
Intact,Discosphaera,tubifera,49.35
Intact,Umbellosphaera,irregularis,0.13
Intact,HOL,,0.99
Intact,Emiliania,huxleyi,3.37
Intact,Umbellosphaera,tenuis,2.15
Intact,Syracosphaera,leptolepis,2.54
Intact,HOL,,1.33
Intact,Emiliania,huxleyi,2.48
Intact,HOL,,4.42
Intact,Syracosphaera,bannockii,2.85
Intact,Emiliania,huxleyi,2.83
Intact,Calcidiscus,leptoporus,165.36
Intact,Poricalyptra,,8.01
Intact,Emiliania,huxleyi,5.08
Intact,Umbellosphaera,tenuis,0.88
Intact,Umbellosphaera,tenuis,3.48
Intact,Umbellosphaera,tenuis,2.89
Intact,Umbilicosphaera,hulburtiana,44.98
Intact,Syracosphaera,pulchra,68.21
Intact,Emiliania,huxleyi,4.93
Intact,HOL,,1.03
Intact,Emiliania,huxleyi,7.75
Intact,Ophiaster,sp.,4.22
Partially collapsed,Syracosphaera,pulchra,118.66
Intact,Umbellosphaera,tenuis,3.59
Intact,Syracosphaera,sp.,0.62
Intact,Syracosphaera,sp.,4.68
Intact,Syracosphaera,pulchra,113.77
Intact,Umbellosphaera,tenuis,4.35
Intact,HOL,,1.87
Intact,Syracosphaera,histrica,10.91
Intact,Umbilicosphaera,hulburtiana,31.79
Intact,Emiliania,huxleyi,3.83
Intact,Emiliania,huxleyi,14.29
Intact,HOL,,1.81
Intact,HOL,,1.21
Intact,HOL,,7.73
Intact,HOL,,1.77
Intact,Umbellosphaera,tenuis,1.23
Intact,Rhabdosphaera,stylifera,16.15
Intact,Umbellosphaera,irregularis,0.09
Intact,Syracosphaera,sp.,26.7
Intact,Umbellosphaera,tenuis,2.34
Intact,HOL,,4.13
Intact,Rhabdosphaera,stylifera,12.38
Intact,Emiliania,huxleyi,6.38
