AMT Sample,Image No.,Spheres Y/N?,,Family,Genus,Species,CN visible,CN x2,CL distal,CL proximal,CW,CD - short,Cd-long,Shape model (Sun and Lui),Volume,Eq. spherical D,Notes,ks suggested,ks min,ks max,,PIC pg CaCO3,PIC pg C,PIC pmol C,Cocco D,Volume,% vol. that is cell for this genus,Estimated cell volume,Estimated cell diameter,Estimated POC pg C MDL,Estimated POC pmol C MDL,PIC:POC MDL,Estimated POC pg C Villiot,Estimated POC pmol C Villiot,PIC:POC Villiot
AMT-14 CTD6 11m,15-9-05-039,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.603,,,4.785,4.785,PS,57.36,4.79,,0.02,0.016,0.025,,9.52,1.14,0.10,4.79,57.36,53.00,30.40,3.87,5.33,0.44,0.21,3.27,0.27,0.35
AMT-14 CTD6 11m,15-9-05-039,Flattened,1,Syracosphaeraceae,Syracosphaera,ossa,13,26,2.603,,,6.115,6.115,PS,119.73,6.12,Coccosphere size measured from flattened coccosphere,0.02,0.016,0.025,,24.76,2.97,0.25,6.12,119.73,76,90.99,5.58,14.93,1.24,0.20,7.05,0.59,0.42
AMT-14 CTD6 11m,15-9-05-040,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.712,,,4.346,4.346,PS,42.98,4.35,,0.02,0.016,0.025,,8.62,1.03,0.09,4.35,42.98,53.00,22.78,3.52,4.07,0.34,0.25,2.68,0.22,0.39
AMT-14 CTD6 11m,15-9-05-041,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,9,21,3.493,,,7.51,7.51,PS,221.78,7.51,"Multi-layered =2 (account for in biomass), CN includes 3 extra surrounding coccoliths",0.02,0.016,0.025,,48.33,5.80,0.48,7.51,221.78,53.00,117.54,6.08,18.98,1.58,0.31,8.44,0.70,0.69
AMT-14 CTD6 11m,15-9-05-041,Flattened,1,Rhabdosphaeraceae,Acanthoica,quattrospina,12,24,2.386,,,,,PS,,,Coccosphere size measured from flattened coccosphere,0.02,0.016,0.025,,17.60,2.11,0.18,,,,,,,,,,,
AMT-14 CTD6 11m,15-9-05-042,Intact,1,Alisphaeraceae,Alisphaera,sp.,40,80,1.292,,,6.669,6.708,PS,156.21,6.68,,0.04,,,,18.63,2.24,0.19,6.68,156.21,81,126.53,6.23,20.34,1.70,0.11,8.89,0.74,0.25
AMT-14 CTD6 11m,15-9-05-044,Intact,1,Rhabdosphaeraceae,Discosphaera ,tubifera,28,56,2.675,,,6.273,6.273,PS,129.25,6.27,,0.07,0.053,0.087,,202.59,24.31,2.03,6.27,129.25,95,122.79,6.17,19.78,1.65,1.23,8.70,0.73,2.79
AMT-14 CTD6 11m,15-9-05-044,Intact,1,Rhabdosphaeraceae,Algirosphaera ,robusta,34,68,2.514,,,10.148,10.148,PS,547.19,10.15,,0.045,,,,131.27,15.75,1.31,10.15,547.19,6,32.83,3.97,5.73,0.48,2.75,3.46,0.29,4.56
AMT-14 CTD6 11m,15-9-05-047,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,3.182,,,6.026,6.026,PS,114.57,6.03,,0.02,0.016,0.025,,20.88,2.51,0.21,6.03,114.57,53.00,60.72,4.88,10.21,0.85,0.25,5.31,0.44,0.47
AMT-14 CTD6 11m,15-9-05-048,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.801,,,4.635,4.635,PS,52.14,4.64,,0.02,0.016,0.025,,14.24,1.71,0.14,4.64,52.14,53.00,27.63,3.75,4.87,0.41,0.35,3.06,0.26,0.56
AMT-14 CTD6 11m,15-9-05-050,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,14,2.043,,,5.202,5.202,PS,73.71,5.20,,0.02,0.016,0.025,,6.45,0.77,0.06,5.20,73.71,53.00,39.06,4.21,6.75,0.56,0.11,3.90,0.33,0.20
AMT-14 CTD6 11m,15-9-05-052,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,16,3.27,,,5.89,5.89,PS,106.99,5.89,+4 coccoliths around,0.02,0.016,0.025,,30.21,3.63,0.30,5.89,106.99,53.00,56.70,4.77,9.57,0.80,0.38,5.07,0.42,0.72
AMT-14 CTD6 11m,15-9-05-053,Flattened,1,Alisphaeraceae,Alisphaera,sp.,37,74,1.193,,,7.048,9.907,PS,257.68,7.90,Coccosphere size measured from flattened coccosphere,0.04,,,,13.57,1.63,0.14,7.90,257.68,81,208.72,7.36,32.55,2.71,0.05,12.61,1.05,0.13
AMT-14 CTD6 11m,15-9-05-054,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericosonii,4,8,3.757,,,5.361,5.361,PS,80.67,5.36,,0.05,0.037,0.06,,57.27,6.87,0.57,5.36,80.67,23,18.56,3.28,3.35,0.28,2.05,2.32,0.19,2.97
AMT-14 CTD6 11m,15-9-05-054,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.599,,,4.88,4.88,PS,60.85,4.88,,0.05,0.037,0.06,,23.70,2.84,0.24,4.88,60.85,53.00,32.25,3.95,5.64,0.47,0.50,3.41,0.28,0.83
AMT-14 CTD6 11m,15-9-05-055,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.865,,,5.641,5.641,PS,93.99,5.64,,0.05,0.037,0.06,,38.10,4.57,0.38,5.64,93.99,53.00,49.81,4.57,8.48,0.71,0.54,4.63,0.39,0.99
AMT-14 CTD6 11m,15-9-05-055,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.615,,,4.001,4.001,PS,33.54,4.00,,0.02,0.016,0.025,,7.73,0.93,0.08,4.00,33.54,53.00,17.77,3.24,3.22,0.27,0.29,2.25,0.19,0.41
AMT-14 CTD6 11m,15-9-05-055,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.02,,,4.135,4.135,PS,37.02,4.14,,0.02,0.016,0.025,,4.45,0.53,0.04,4.14,37.02,53.00,19.62,3.35,3.53,0.29,0.15,2.41,0.20,0.22
AMT-14 CTD6 11m,15-9-05-055,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,16,2.989,,,5.341,5.341,PS,79.77,5.34,+4 coccoliths around,0.02,0.016,0.025,,23.07,2.77,0.23,5.34,79.77,53.00,42.28,4.32,7.27,0.61,0.38,4.12,0.34,0.67
AMT-14 CTD6 11m,15-9-05-056,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,14,2.199,,,4.62,4.62,PS,51.63,4.62,,0.02,0.016,0.025,,8.04,0.96,0.08,4.62,51.63,53.00,27.37,3.74,4.83,0.40,0.20,3.04,0.25,0.32
AMT-14 CTD6 11m,15-9-05-056,Intact,1,Nannolith,Florisphaera,profunda,9,90,2.975,,,7.429,7.429,PS,214.68,7.43,Assume 80-160 coccoliths per cell,0.04,0.03,0.06,,255.93,30.71,2.56,7.43,214.68,28,60.11,4.86,10.11,0.84,3.04,5.28,0.44,5.82
AMT-14 CTD6 11m,15-9-05-057,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.859,,,5.429,5.429,PS,83.78,5.43,,0.02,0.016,0.025,,10.10,1.21,0.10,5.43,83.78,53.00,44.41,4.39,7.61,0.63,0.16,4.27,0.36,0.28
AMT-14 CTD6 11m,15-9-05-057,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.007,,,4.763,4.763,PS,56.58,4.76,,0.02,0.016,0.025,,14.68,1.76,0.15,4.76,56.58,53.00,29.99,3.85,5.26,0.44,0.33,3.24,0.27,0.54
AMT-14 CTD6 11m,15-9-05-058,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.694,,,4.259,4.259,PS,40.45,4.26,,0.02,0.016,0.025,,8.45,1.01,0.08,4.26,40.45,53.00,21.44,3.45,3.84,0.32,0.26,2.56,0.21,0.40
AMT-14 CTD6 11m,15-9-05-061,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,3,6,3.327,,,4.23,4.23,PS,39.63,4.23,,0.02,0.016,0.025,,11.93,1.43,0.12,4.23,39.63,53.00,21.00,3.42,3.77,0.31,0.38,2.53,0.21,0.57
AMT-14 CTD6 11m,15-9-05-061,Intact,1,Noelaerhabdaceae,Gephyrocapsa,ericosonii,5,10,1.751,,,3.238,3.238,PS,17.78,3.24,,0.05,0.037,0.06,,7.25,0.87,0.07,3.24,17.78,23,4.09,1.98,0.81,0.07,1.07,0.80,0.07,1.08
AMT-14 CTD6 11m,15-9-05-062,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.857,,,4.861,4.861,PS,60.14,4.86,,0.02,0.016,0.025,,10.07,1.21,0.10,4.86,60.14,53.00,31.88,3.93,5.57,0.46,0.22,3.38,0.28,0.36
AMT-14 CTD6 11m,15-9-05-062,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.915,,,6.138,6.138,PS,121.08,6.14,,0.02,0.016,0.025,,32.40,3.89,0.32,6.14,121.08,53.00,64.17,4.97,10.75,0.90,0.36,5.52,0.46,0.70
AMT-14 CTD6 11m,15-9-05-062,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.954,,,4.431,4.431,PS,45.55,4.43,,0.02,0.016,0.025,,13.92,1.67,0.14,4.43,45.55,53.00,24.14,3.59,4.29,0.36,0.39,2.79,0.23,0.60
AMT-14 CTD6 11m,15-9-05-062,Intact,1,Syracosphaeraceae,Syracosphaera,bannockii,14,28,1.807,,,5.28,5.28,PS,77.07,5.28,,0.02,0.016,0.025,,8.92,1.07,0.09,5.28,77.07,76,58.58,4.82,9.87,0.82,0.11,5.18,0.43,0.21
AMT-14 CTD6 11m,15-9-05-065,Intact,1,Syracosphaeraceae,Syracosphaera,molischi,12,24,1.807,,,5.306,5.306,PS,78.22,5.31,,0.02,0.016,0.025,,7.65,0.92,0.08,5.31,78.22,76,59.44,4.84,10.01,0.83,0.09,5.24,0.44,0.18
AMT-14 CTD6 11m,15-9-05-066,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,2.957,,,4.517,4.517,PS,48.26,4.52,,0.02,0.016,0.025,,11.17,1.34,0.11,4.52,48.26,53.00,25.58,3.66,4.53,0.38,0.30,2.90,0.24,0.46
AMT-14 CTD6 11m,15-9-05-066,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,3.234,,,5.199,5.199,PS,73.58,5.20,,0.02,0.016,0.025,,14.61,1.75,0.15,5.20,73.58,53.00,39.00,4.21,6.74,0.56,0.26,3.90,0.32,0.45
AMT-14 CTD6 11m,15-9-05-066,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,9,18,3.927,,,7.03,7.03,PS,181.91,7.03,,0.02,0.016,0.025,,58.86,7.06,0.59,7.03,181.91,53.00,96.41,5.69,15.76,1.31,0.45,7.35,0.61,0.96
AMT-14 CTD6 11m,15-9-05-067,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,3,6,3.322,,,4.745,4.745,PS,55.94,4.75,,0.02,0.016,0.025,,11.88,1.43,0.12,4.75,55.94,53.00,29.65,3.84,5.21,0.43,0.27,3.22,0.27,0.44
AMT-14 CTD6 11m,15-9-05-067,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.153,,,4.714,4.714,PS,54.85,4.71,,0.02,0.016,0.025,,16.93,2.03,0.17,4.71,54.85,53.00,29.07,3.81,5.11,0.43,0.40,3.17,0.26,0.64
AMT-14 CTD6 11m,15-9-05-067,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,2.768,,,5.269,5.269,PS,76.59,5.27,,0.02,0.016,0.025,,13.74,1.65,0.14,5.27,76.59,53.00,40.59,4.26,7.00,0.58,0.24,4.01,0.33,0.41
AMT-14 CTD6 11m,15-9-05-068,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,7,14,2.563,,,5.429,5.429,PS,83.78,5.43,,0.02,0.016,0.025,,12.73,1.53,0.13,5.43,83.78,53.00,44.41,4.39,7.61,0.63,0.20,4.27,0.36,0.36
AMT-14 CTD6 11m,15-9-05-068,Flattened,1,Calcidiscaceae,Oolithotus,antillarum,6,12,5.389,,,6.779,6.779,PS,163.12,6.78,Coccosphere size measured from flattened coccosphere,0.07,,,,354.95,42.59,3.55,6.78,163.12,86,140.28,6.45,22.41,1.87,1.90,9.55,0.80,4.46
AMT-14 CTD6 11m,15-9-05-069,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4,8,3.434,,,4.675,4.675,PS,53.50,4.68,,0.02,0.016,0.025,,17.49,2.10,0.17,4.68,53.50,53.00,28.35,3.78,4.99,0.42,0.42,3.12,0.26,0.67
AMT-14 CTD6 11m,15-9-05-070,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,3.442,,,5.072,5.072,PS,68.32,5.07,,0.02,0.016,0.025,,22.02,2.64,0.22,5.07,68.32,53.00,36.21,4.10,6.28,0.52,0.42,3.70,0.31,0.71
AMT-14 CTD6 11m,15-9-05-071,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,5,10,2.901,,,4.796,4.796,PS,57.76,4.80,,0.02,0.016,0.025,,13.18,1.58,0.13,4.80,57.76,53.00,30.61,3.88,5.37,0.45,0.29,3.29,0.27,0.48
AMT-14 CTD6 11m,15-9-05-073,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,6,12,3.114,,,5.364,5.364,PS,80.81,5.36,,0.02,0.016,0.025,,19.57,2.35,0.20,5.36,80.81,53.00,42.83,4.34,7.36,0.61,0.32,4.16,0.35,0.56
AMT-14 CTD6 11m,15-9-05-074,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,4.5,9,3.09,,,4.92,4.92,PS,62.36,4.92,,0.02,0.016,0.025,,14.34,1.72,0.14,4.92,62.36,53.00,33.05,3.98,5.77,0.48,0.30,3.47,0.29,0.50
AMT-14 CTD6 11m,15-9-05-074,Intact,1,Noelaerhabdaceae,Emiliania,huxleyi,3,6,2.648,,,4.29,4.29,PS,41.34,4.29,,0.02,0.016,0.025,,6.02,0.72,0.06,4.29,41.34,53.00,21.91,3.47,3.92,0.33,0.18,2.60,0.22,0.28
AMT-14 CTD6 11m,15-9-05-075,Intact,1,Syracosphaeraceae,Syracosphaera,nodosa,9.5,19,3.201,,,7.397,7.397,PS,211.92,7.40,,0.02,0.016,0.025,,33.65,4.04,0.34,7.40,211.92,76,161.06,6.75,25.52,2.13,0.16,10.52,0.88,0.38
