Latitude,Longitude,Depth,Month,Year,Day,Reference,Method,Species,cells L-1
45.4,-154.57,10.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,1935.0
45.4,-154.57,20.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,1200.0
45.4,-154.57,30.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,5390.0
44.0,-155.3,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,70.0
40.0,-154.3,20.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,126.0
40.0,-154.3,30.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,55.0
35.0,-154.57,10.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,45.0
35.0,-154.57,20.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
34.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,51.0
33.0,-154.5,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
32.0,-154.53,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,10.0
31.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,3.0
29.59,-155.1,30.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
29.59,-155.1,75.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,32.0
29.59,-155.1,100.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,100.0
29.59,-155.1,125.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,25.0
25.0,-154.58,20.0,9,1969,10.0,Okada1973,SEM,Acanthoica acanthifera HET,29.0
21.0,-155.1,0.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,5.0
21.0,-155.1,30.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
21.0,-155.1,75.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,36.0
21.0,-155.1,100.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
23.0,158.21,0.0,11,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
25.0,255.4,0.0,11,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,18.0
26.0,154.9,0.0,11,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,8.0
29.6,149.2,0.0,11,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,46.0
30.0,147.38,0.0,11,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,22.0
34.0,141.0,0.0,11,1969,9.0,Okada1973,SEM,Acanthoica acanthifera HET,455.0
34.36,140.5,0.0,11,1969,9.0,Okada1973,SEM,Acanthoica acanthifera HET,182.0
-0.1,141.59,20.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,77.0
-0.1,141.59,30.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,275.0
-0.1,141.59,50.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,80.0
-0.1,141.59,75.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,60.0
-0.1,141.59,100.0,12,1968,30.0,Okada1973,SEM,Acanthoica acanthifera HET,199.0
2.42,141.48,0.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,20.0
2.42,141.48,17.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,202.0
2.42,141.48,30.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,273.0
2.42,141.48,56.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,143.0
45.4,-154.57,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,330.0
45.4,-154.57,10.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,1935.0
45.4,-154.57,20.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,1200.0
45.4,-154.57,30.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,5390.0
44.0,-155.3,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,70.0
40.0,-154.3,20.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,126.0
40.0,-154.3,30.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,55.0
35.0,-154.57,10.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,45.0
35.0,-154.57,20.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
34.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,51.0
33.0,-154.5,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
32.0,-154.53,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,10.0
31.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,3.0
29.59,-155.1,30.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
29.59,-155.1,75.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,32.0
29.59,-155.1,100.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,100.0
29.59,-155.1,125.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,25.0
25.0,-154.58,20.0,9,1969,10.0,Okada1973,SEM,Acanthoica acanthifera HET,29.0
21.0,-155.1,0.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,5.0
21.0,-155.1,30.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
21.0,-155.1,75.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,36.0
21.0,-155.1,100.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
23.0,158.21,0.0,11,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
25.0,255.4,0.0,11,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,18.0
26.0,154.9,0.0,11,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,8.0
29.6,149.2,0.0,11,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,46.0
30.0,147.38,0.0,11,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,22.0
34.0,141.0,0.0,11,1969,9.0,Okada1973,SEM,Acanthoica acanthifera HET,455.0
34.36,140.5,0.0,11,1969,9.0,Okada1973,SEM,Acanthoica acanthifera HET,182.0
-0.0166666667,141.9833333333,20.0,1,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,77.0
-0.0166666667,141.9833333333,30.0,1,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,275.0
-0.0166666667,141.9833333333,50.0,1,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,80.0
-0.0166666667,141.9833333333,75.0,1,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,60.0
-0.0166666667,141.9833333333,100.0,1,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,198.0
2.7,141.8,0.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,19.0
2.7,141.8,17.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,188.0
2.7,141.8,30.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,250.0
2.7,141.8,56.0,1,1969,3.0,Okada1973,SEM,Acanthoica acanthifera HET,140.0
21.0,-155.0166666667,0.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,5.0
21.0,-155.0166666667,30.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
21.0,-155.0166666667,75.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,36.0
21.0,-155.0166666667,100.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
25.0,-154.9666666667,20.0,9,1969,10.0,Okada1973,SEM,Acanthoica acanthifera HET,30.0
29.9833333333,-155.0166666667,30.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,39.0
29.9833333333,-155.0166666667,75.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,32.0
29.9833333333,-155.0166666667,100.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,100.0
29.9833333333,-155.0166666667,125.0,9,1969,8.0,Okada1973,SEM,Acanthoica acanthifera HET,25.0
35.0,-154.95,10.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,45.0
35.0,-154.95,20.0,9,1969,6.0,Okada1973,SEM,Acanthoica acanthifera HET,7.0
40.0,-154.5,20.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,126.0
40.0,-154.5,30.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,55.0
45.0,-154.95,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,330.0
45.0,-154.95,10.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,1935.0
45.0,-154.57,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,330.0
44.0,-155.03,0.0,8,1969,29.0,Okada1973,SEM,Acanthoica acanthifera HET,70.0
40.0,-154.3,0.0,9,1969,1.0,Okada1973,SEM,Acanthoica acanthifera HET,44.0
34.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,50.0
33.0,-154.5,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
32.0,-154.53,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,10.0
31.0,-154.48,0.0,9,1969,7.0,Okada1973,SEM,Acanthoica acanthifera HET,3.0
21.0,-155.01,0.0,9,1969,12.0,Okada1973,SEM,Acanthoica acanthifera HET,5.0
23.0,158.21,0.0,11,1968,6.0,Okada1973,SEM,Acanthoica acanthifera HET,14.0
25.0,155.4,0.0,11,1968,6.0,Okada1973,SEM,Acanthoica acanthifera HET,18.0
26.0,154.09,0.0,11,1968,7.0,Okada1973,SEM,Acanthoica acanthifera HET,8.0
29.0,149.02,0.0,11,1968,7.0,Okada1973,SEM,Acanthoica acanthifera HET,44.0
30.0,147.38,0.0,11,1968,8.0,Okada1973,SEM,Acanthoica acanthifera HET,21.0
34.0,141.0,0.0,11,1968,9.0,Okada1973,SEM,Acanthoica acanthifera HET,506.0
34.0,140.05,0.0,11,1968,9.0,Okada1973,SEM,Acanthoica acanthifera HET,180.0
40.1502,25.1201,3.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,190.0
40.1502,25.1201,20.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
40.1502,25.1201,75.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
40.1502,25.1201,100.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
40.327,25.3503,2.0,5,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
40.327,25.3503,10.0,5,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
40.327,25.3503,100.0,5,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,260.0
39.1571,24.5999,2.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,130.0
39.1571,24.5999,20.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
39.1571,24.5999,50.0,1,2011,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,130.0
39.3336,23.48,5.0,2,2007,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
39.3336,23.48,20.0,2,2007,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,190.0
37.5153,24.5753,5.0,3,2002,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
37.5902,25.0052,45.0,8,2001,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
35.265,23.2466,5.0,2,2012,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,260.0
35.265,23.2466,90.0,2,2012,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,60.0
35.3713,27.4208,85.0,1,2007,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,190.0
35.486,25.066,100.0,5,2013,1.0,Dimiza2015,SEM,Acanthoica acanthifera HET,100.0
35.6498,26.2167,7.0,4,2011,7.0,Oviedo2015,SEM,Acanthoica acanthifera HET,766.0
41.2498,17.9997,25.7,4,2011,16.0,Oviedo2015,SEM,Acanthoica acanthifera HET,416.0
36.1007,-4.3995,24.5,4,2011,24.0,Oviedo2015,SEM,Acanthoica acanthifera HET,449.0
36.0007,-5.3627,0.0,4,2011,25.0,Oviedo2015,SEM,Acanthoica acanthifera HET,1437.0
-29.6683,113.6842,0.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,312.0
-29.3468,113.2168,0.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,117.0
-29.3468,113.2168,41.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,66.0
-29.3312,112.9478,0.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,642.0
-29.3312,112.9478,23.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,365.0
-29.3312,112.9478,40.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,90.0
-29.3312,112.9478,75.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,116.0
-28.7137,113.388,0.0,2,1996,22.0,Takahashi2000,SEM,Acanthoica acanthifera HET,36.0
-28.4145,112.2822,0.0,2,1996,23.0,Takahashi2000,SEM,Acanthoica acanthifera HET,109.0
-28.4145,112.2822,18.0,2,1996,23.0,Takahashi2000,SEM,Acanthoica acanthifera HET,70.0
-28.4145,112.2822,170.0,2,1996,23.0,Takahashi2000,SEM,Acanthoica acanthifera HET,13.0
-26.9567,111.3327,26.0,2,1996,23.0,Takahashi2000,SEM,Acanthoica acanthifera HET,249.0
-26.9567,111.3327,101.0,2,1996,23.0,Takahashi2000,SEM,Acanthoica acanthifera HET,123.0
-27.0012,111.0003,0.0,2,1996,24.0,Takahashi2000,SEM,Acanthoica acanthifera HET,91.0
-27.0012,111.0003,17.0,2,1996,24.0,Takahashi2000,SEM,Acanthoica acanthifera HET,140.0
-27.0012,111.0003,49.0,2,1996,24.0,Takahashi2000,SEM,Acanthoica acanthifera HET,275.0
-25.4287,110.1002,15.0,2,1996,24.0,Takahashi2000,SEM,Acanthoica acanthifera HET,39.0
-25.4287,110.1002,48.0,2,1996,24.0,Takahashi2000,SEM,Acanthoica acanthifera HET,54.0
-23.7277,108.5312,0.0,2,1996,25.0,Takahashi2000,SEM,Acanthoica acanthifera HET,28.0
-23.7277,108.5312,11.0,2,1996,25.0,Takahashi2000,SEM,Acanthoica acanthifera HET,70.0
-23.0002,108.1672,0.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,148.0
-23.0002,108.1672,25.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,193.0
-23.0002,108.1672,50.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,167.0
-21.9972,108.8397,0.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,137.0
-21.9972,108.8397,25.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,118.0
-21.9972,108.8397,50.0,2,1996,26.0,Takahashi2000,SEM,Acanthoica acanthifera HET,70.0
-20.9957,109.5208,24.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,313.0
-20.9957,109.5208,44.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,139.0
-20.0005,110.1662,0.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,22.0
-20.0005,110.1662,20.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,42.0
-19.3872,110.5167,0.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,41.0
-19.3872,110.5167,20.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,35.0
-19.3872,110.5167,43.0,2,1996,27.0,Takahashi2000,SEM,Acanthoica acanthifera HET,95.0
-16.0008,110.4978,25.0,2,1996,28.0,Takahashi2000,SEM,Acanthoica acanthifera HET,58.0
-15.0025,110.4967,0.0,2,1996,28.0,Takahashi2000,SEM,Acanthoica acanthifera HET,92.0
-15.0025,110.4967,9.0,2,1996,28.0,Takahashi2000,SEM,Acanthoica acanthifera HET,131.0
-12.246,112.7403,0.0,3,1996,1.0,Takahashi2000,SEM,Acanthoica acanthifera HET,21.0
39.4729,25.3269,20.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthos HET,100.0
39.4728,25.327,10.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthos HET,140.0
39.4728,25.327,20.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthos HET,50.0
39.3875,25.3552,3.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthos HET,50.0
39.3875,25.3552,20.0,3,2014,22.0,Karatsolis2017,SEM,Acanthoica acanthos HET,50.0
39.4728,25.327,10.0,7,2014,17.0,Karatsolis2017,SEM,Acanthoica acanthos HET,100.0
39.3875,25.3552,10.0,7,2014,17.0,Karatsolis2017,SEM,Acanthoica acanthos HET,50.0
34.5,-75.4833333333333,10.0,8,1965,16.0,marshall1968,LM,Acanthoica acanthos HET,40.0
34.5,-74.6666666666667,10.0,8,1965,16.0,marshall1968,LM,Acanthoica acanthos HET,40.0
41.23,3.102,70.0,7,1996,1.0,Cros2013,SEM,Acanthoica acanthos HET,3570.0
37.5073,24.5676,5.0,3,2003,1.0,Dimiza2008,SEM,Acanthoica acanthos HET,64.0
37.4667,24.5773,0.0,4,2002,1.0,Dimiza2008,SEM,Acanthoica acanthos HET,83.0
-43.0,57.3,0.0,2,2010,2.0,Patil2017,SEM,Acanthoica acanthos HET,1294.0
-44.0,57.3,60.0,2,2010,2.0,Patil2017,SEM,Acanthoica acanthos HET,880.0
-44.0,57.3,80.0,2,2010,2.0,Patil2017,SEM,Acanthoica acanthos HET,1065.0
-48.0,57.3,0.0,2,2010,6.0,Patil2017,SEM,Acanthoica acanthos HET,884.0
-48.0,57.3,20.0,2,2010,6.0,Patil2017,SEM,Acanthoica acanthos HET,1738.0
43.5088,15.9003,0.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,331.0
43.5088,15.9003,10.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,2205.0
43.5088,15.9003,25.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,882.0
43.5088,15.9003,40.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,220.0
43.6051,15.8752,0.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,603.0
43.6051,15.8752,10.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,964.0
43.6051,15.8752,25.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,723.0
43.6051,15.8752,60.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,804.0
43.6768,15.8742,0.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,164.0
43.6768,15.8742,10.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,493.0
43.6768,15.8742,30.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,658.0
43.6768,15.8742,45.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,329.0
43.7129,15.8503,10.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,1507.0
43.7129,15.8503,35.0,2,2013,26.0,Supraha2016,SEM,Acanthoica acanthos HET,1645.0
43.7392,15.8805,3.0,2,2013,27.0,Supraha2016,SEM,Acanthoica acanthos HET,2410.0
43.7392,15.8805,5.0,2,2013,27.0,Supraha2016,SEM,Acanthoica acanthos HET,1205.0
43.7898,15.8633,4.0,2,2013,27.0,Supraha2016,SEM,Acanthoica acanthos HET,4820.0
43.7898,15.8633,7.5,2,2013,27.0,Supraha2016,SEM,Acanthoica acanthos HET,2410.0
43.7898,15.8633,20.0,2,2013,27.0,Supraha2016,SEM,Acanthoica acanthos HET,2410.0
43.5088,15.9003,40.0,7,2013,8.0,Supraha2016,SEM,Acanthoica acanthos HET,441.0
37.6667,25.5998,74.7,4,2011,6.0,Oviedo2015,SEM,Acanthoica acanthos HET,348.0
35.6498,26.2167,7.0,4,2011,7.0,Oviedo2015,SEM,Acanthoica acanthos HET,766.0
34.0665,32.9998,100.6,4,2011,8.0,Oviedo2015,SEM,Acanthoica acanthos HET,407.0
34.4998,24.3328,5.4,4,2011,12.0,Oviedo2015,SEM,Acanthoica acanthos HET,727.0
35.0665,20.3502,52.2,4,2011,13.0,Oviedo2015,SEM,Acanthoica acanthos HET,1152.0
38.5002,18.9993,51.0,4,2011,15.0,Oviedo2015,SEM,Acanthoica acanthos HET,836.0
38.5002,18.9993,5.9,4,2011,15.0,Oviedo2015,SEM,Acanthoica acanthos HET,369.0
38.5002,18.9993,0.0,4,2011,15.0,Oviedo2015,SEM,Acanthoica acanthos HET,575.0
39.4998,18.8002,25.2,4,2011,16.0,Oviedo2015,SEM,Acanthoica acanthos HET,2066.0
38.6503,5.5998,27.3,4,2011,21.0,Oviedo2015,SEM,Acanthoica acanthos HET,2033.0
37.9,2.0,5.7,4,2011,23.0,Oviedo2015,SEM,Acanthoica acanthos HET,250.0
37.0503,-0.0003,25.6,4,2011,23.0,Oviedo2015,SEM,Acanthoica acanthos HET,1760.0
37.0503,-0.0003,0.0,4,2011,23.0,Oviedo2015,SEM,Acanthoica acanthos HET,748.0
36.1007,-4.3995,24.5,4,2011,24.0,Oviedo2015,SEM,Acanthoica acanthos HET,449.0
36.1007,-4.3995,4.7,4,2011,24.0,Oviedo2015,SEM,Acanthoica acanthos HET,625.0
36.0007,-5.3627,24.8,4,2011,25.0,Oviedo2015,SEM,Acanthoica acanthos HET,10452.0
36.0007,-5.3627,5.2,4,2011,25.0,Oviedo2015,SEM,Acanthoica acanthos HET,1016.0
36.0007,-5.3627,0.0,4,2011,25.0,Oviedo2015,SEM,Acanthoica acanthos HET,2873.0
18.0,-35.8,42.0,6,2003,4.0,Poulton2017,SEM,Acanthoica acanthos HET,89.0
