species,mean,sd,method,reference
Emiliania huxleyi HET,2.52,0.72,lab measurement,villiot2021a
Emiliania huxleyi HET,5.4,3.24,lab measurement,villiot2021a
Gephyrocapsa muellerae HET,4.68,0.6,lab measurement,villiot2021a
Gephyrocapsa oceanica HET,15.48,1.2,lab measurement,villiot2021a
Calcidiscus leptoporus HET,31.44,3.96,lab measurement,villiot2021a
Syracosphaera pulchra HET,41.16,3.96,lab measurement,villiot2021a
Calcidiscus leptoporus HET,35.28,5.64,lab measurement,villiot2021a
Coccolithus pelagicus HET,45.84,8.88,lab measurement,villiot2021a
Calcidiscus leptoporus HET,63.6,0.0,lab measurement,langer2006
Calcidiscus leptoporus HET,66.0,0.0,lab measurement,langer2006
Emiliania huxleyi HET,8.4,0.0,lab measurement,oviedo2014
Emiliania huxleyi HET,8.4,0.0,lab measurement,oviedo2014
Emiliania huxleyi HET,12.0,0.0,lab measurement,oviedo2014
Emiliania huxleyi HET,8.4,0.0,lab measurement,oviedo2014
Emiliania huxleyi HET,10.8,0.0,lab measurement,oviedo2014
Emiliania huxleyi HET,8.4,0.0,lab measurement,oviedo2014
Coccolithus pelagicus HET,230.4,0.0,lab measurement,llewellyn2000
Emiliania huxleyi HET,16.8,0.0,lab measurement,llewellyn2000
